image	caption
/content/MediaEval_NewsImages/Training Dataset/69D9F2DFE467BA53031C57939F6FD493.jpg	Apple's market cap briefly shot up by $60 billion on AI news bloomberg samsung
/content/MediaEval_NewsImages/Training Dataset/DE7F8EF02A8D9135D6995EC9F77E127E.jpg	Limestone Suffolks hit 12,500gn at Ballymena mccloskey glenroe jack smyth mark priestley emma mcelhill mark priestley seaford castleisle a kingsman ballymena mart 
/content/MediaEval_NewsImages/Training Dataset/634037677B28A630B4A50E2B947FD201.jpg	Enjoying Nature: Plant replacement summer of tennessee extension office in crossville google
/content/MediaEval_NewsImages/Training Dataset/5CA7F04F9035CCD44FFBF95FC7AE704E.jpg	Powerball jackpot soars to $1 billion for Wednesday's drawing coskun anadolu agency
/content/MediaEval_NewsImages/Training Dataset/F37CD39051EF077A921065BD87330130.jpg	Sheep Trends: gap of 30c/kg between lamb quotes comiskey charlie mcconalogue 
/content/MediaEval_NewsImages/Training Dataset/9823A545816C25F65961C0D64C29A9B8.jpg	Azerbaijani And Turkish Naval Forces' Representatives Hold 9Th Staff Session (Photo) of the turkish naval forces menafn- trend news agency turkish naval defense ministry commander of the azerbaijan naval
/content/MediaEval_NewsImages/Training Dataset/BBD3CAC7864E3CAF89B5B84724B5B478.jpg	John Boyega On Returning To 'Star Wars' Universe: I'm Open To All Opportunities â€“ Deadline driver kelly marie tran john boyega daisy ridley disney
/content/MediaEval_NewsImages/Training Dataset/E8088A388940FC6FB57C8FB700DE2865.jpg	How BTS' Jin Allegedly Saved Brazilian Girl From Robbery harris natali vitoria ramos reis kim seokjin twitter instagram
/content/MediaEval_NewsImages/Training Dataset/B98BB3D4DD8C238BC99E8C885AC0BBDF.jpg	Tourists watched as US soldier crossed to North Korea division associated press
/content/MediaEval_NewsImages/Training Dataset/9F1ED8F82BDA4B02BA0DA5CC684716D0.jpg	Al Thawadi Discusses Qatar Post 2022 World Cup socrates hassan al thawadi al thawadi supreme committee for delivery qatar national vision statistics authority
/content/MediaEval_NewsImages/Training Dataset/DEE0F6C961FD8C1E70D0F492E61EA553.jpg	Hollywood Strikes Can't Keep Netflix Down sarandos mary mcnamararecently netflix hollywood netflix united states la times
/content/MediaEval_NewsImages/Training Dataset/621010AD75B222735AD657A0CF109462.jpg	A driving force | Borneo Bulletin Online sabran djunijanti peggie kiyomi kakizawa asia elizabeth john neo chai chin european union forestry department university in bogor butterfly science society of japan jun hase indonesia national research bantimurung bulusaraung national park innovation agency united states
/content/MediaEval_NewsImages/Training Dataset/41BCAC1FE01C1ACF2E96315053F45887.jpg	Draymond Green still doesn't like his new Warriors teammate Chris Paul beverley chris paul draymond green golden state warriors espn
/content/MediaEval_NewsImages/Training Dataset/4C9761937B5039F3BA8146487F326D87.jpg	Crime Stoppers Report: Windsor parking lot scammers begu melanie borrelli matt adam canadian tire
/content/MediaEval_NewsImages/Training Dataset/6227575A1C372D74982E98A6534561FA.jpg	Happy hour at home: How to create a cocktail corner for entertaining shauer martina mcbride rich manning laz alonso heather manning richard blais amaro averna eddie zamora robert simonson costco havana club instagram club tropicana real havana club west elm
/content/MediaEval_NewsImages/Training Dataset/10B25548061A8CE699D3D54B34E6A1C1.jpg	Barrington Pastor Sentenced for Stealing $130,000 From Journey Baptist Church gingrande jane young samantha elliott gregory neal jane e young united states secret service u s district court pastor of the journey baptist church journey baptist church
/content/MediaEval_NewsImages/Training Dataset/F8AB6880C8F2D72237294049445E2BDC.jpg	Post Malone surprises fans with pop-up Times Square gig ray stewart harvdrive harvdrive ian shelton austin post 
/content/MediaEval_NewsImages/Training Dataset/4A1767DFE6B18453C21420F73CA52FC7.jpg	Tyson Foods (TSN) Outpaces Stock Market Gains: What You Should Know investment research tyson foods nasdaq
/content/MediaEval_NewsImages/Training Dataset/CCCBEFEECEA7815277106EE740275CB7.jpg	Lawsuit filed against Michigan attorney who made unproven voter fraud claims after 2020 election lambert yaacov apelbaum michigan attorney grievance commission
/content/MediaEval_NewsImages/Training Dataset/5C5ABA62E3A39FCB19900A7B038D6332.jpg	UW gets $10M grant for semiconductor workforce development and research development in semiconductors university of washington u s-japan university partnership for workforce advancement micron technology national science foundation
/content/MediaEval_NewsImages/Training Dataset/12CB88DBF8F7F712C4B060484E84839D.jpg	Martha's Vineyard man charged with robbing Cape Cod bank; he allegedly zip tied employees and customers u s attorney office oak bluffs water department rockland trust bank walmart
/content/MediaEval_NewsImages/Training Dataset/87BC144496AEDE64846A8690B018B139.jpg	Local Church Holding Special Needs Conference Saturday baptist church
/content/MediaEval_NewsImages/Training Dataset/7D6C7C0E0F97D4C5BDF7865D075A5398.jpg	50 Celebrities Who Were Turned Into Barbies hill lucille ball marilyn monroe nicki minaj julie andrews mary david bowie reese witherspoon elle elton john heidi klum tim mcgraw frank sinatra katy perry claudia schiffer jack sparrow elizabeth taylor reba mcentire jennifer lawrence katniss everdeen 
/content/MediaEval_NewsImages/Training Dataset/F98CE8E4EF416AC6264998E96BCEE260.jpg	Safarak Travel & Tourism Broadens Global Footprint khaimah cathy mead ras al khaimah wynn resorts destination management company hospitality holding national hotels
/content/MediaEval_NewsImages/Training Dataset/A80082CDF91A2F14B6BF748E4A5874DF.jpg	Phoenix woman gored by bison at Yellowstone National Park lodge cabins eastern idaho regional medical center facebook yellowstone national park wildlife in yellowstone national park
/content/MediaEval_NewsImages/Training Dataset/06EA27647E15BFD54966CCDDD7E314A5.jpg	Cardinal Zuppi Meets With Biden To Discuss Humanitarian Work In Ukraine pierre rockford bishop david malloy tyler arnold pope franci cardinal matteo zuppi pope francis volodymyr zelenskyy national defense authorization white house united states committee on international justice
/content/MediaEval_NewsImages/Training Dataset/299C48213119C1BE97F1DB2132B93A2D.jpg	People's Movements From Africa Debate The Crisis Of Capitalism And Socialist Alternatives â€“ Eurasia Review dilemmas of humanity conference movement of ghana party of zambia national union of metalworkers of south africa international people assembly
/content/MediaEval_NewsImages/Training Dataset/0A4416648BA12CC0673D204CA8F62BEC.jpg	Columnist Johanna Neumann: Unsafe for swimming â€” Data shows scope of pollution states environment america research policy center fort river watershed association u s environmental protection agency
/content/MediaEval_NewsImages/Training Dataset/FBB1DC04D6DD05BBFDD30CD569855F54.jpg	Dempsey at Large: acknowledge progress when it is achieved by farmers protection agency
/content/MediaEval_NewsImages/Training Dataset/443B53B14A52880E0B72DCD5EAB40D4A.jpg	Tata plans USD5.2-billion UK battery factory | Borneo Bulletin Online shapps natarajan chandrasekaran peugeot energy security
/content/MediaEval_NewsImages/Training Dataset/C40E3A10E8EB23FF771033561DAD4CDA.jpg	University of Windsor establishes National Urban Park Hub jacobs catherine febria anneke smit steven guilbeault university of windsor law centre for cities national urban park hub national park in windsor university of windsor national urban park hub ojibway national urban park university of windsor
/content/MediaEval_NewsImages/Training Dataset/2C5C38A1F523444C3C1FEE41C497F59C.jpg	Britney Spears and Will.i.am tease new single â€“ coming today spear elton john britney spears iam x britney instagram
/content/MediaEval_NewsImages/Training Dataset/50868D098DD755336D48D8E47F5531A6.jpg	Adding to their Hall of Fame victorian bushfire amelioration fund electronic technology business iot impact awards health victorian government department of jobs
/content/MediaEval_NewsImages/Training Dataset/1F782B366F8EF3F329AB581CFAF39FAF.jpg	A look at US sanctions on Russia, Iran from Obama to the Biden years ben taleblu bret baier jared moskowitz george washington mike lawler iran nuclear deal united nations european union atlantic council foundation for defense of democracies
/content/MediaEval_NewsImages/Training Dataset/B4319CE05E782732F67B80378CE0EBC7.jpg	AI: Workers need more protection jackson emma walmsley laurence bouvard octopus energy
/content/MediaEval_NewsImages/Training Dataset/3D5E3FF76C8016660E9F8F9545F11A4B.jpg	SWAT team arrests man who held two women hostage in Queen Anne police department hostage negotiation team
/content/MediaEval_NewsImages/Training Dataset/6A8BEA31D46A52CC70FD908571005137.jpg	No drug test for 'Rust' movie armorer in upcoming trial over fatal shooting by Alec Baldwin gutierrez-reed jason bowles kari morrissey halyna hutchins matthew hutchins alec baldwin joel souza mary marlowe sommer santa fe county sheriff office district court
/content/MediaEval_NewsImages/Training Dataset/3CFC7FB345C506465EB0D5FFAFDB410C.jpg	Why wildfires are worse this year in Canada, causing more Air Quality Alerts for CNY of environmental conservation
/content/MediaEval_NewsImages/Training Dataset/A992EEB32D59C8D95DB257FA1C0561C5.jpg	All you need to know about the NBA's In-Season Tournament bucks new york knicks miami heat washington wizards
/content/MediaEval_NewsImages/Training Dataset/3567B16BA2EFB6CF8E952CA99D636451.jpg	Historic fire truck restored and ready to roll currie hedley g coates travis fortnum sandra kemski walkerville fire department elcombe engineering ltd detroit fire department windsor professional fire fighter association fire department
/content/MediaEval_NewsImages/Training Dataset/269548C932AF271B05A1C2579B554889.jpg	Bayerische Motoren Werke AG (BAMXF) Stock Sinks As Market Gains: What You Should Know zacks investment research
/content/MediaEval_NewsImages/Training Dataset/574A658215993AF092EE2E87AE13F36A.jpg	Indiana struggles with teacher shortage department of education
/content/MediaEval_NewsImages/Training Dataset/93A39E15E84E2A81703DB9EB5C1E0284.jpg	Take the test: How much salt is hiding in your veggie food? health england
/content/MediaEval_NewsImages/Training Dataset/A575AFD687F547128D21D504B4041848.jpg	Planning permission for Dublin Wetherspoons' pub sound barrier rejected by council city council
/content/MediaEval_NewsImages/Training Dataset/6C7FD8CF2485C84BB3E7F1DDBBB44FF1.jpg	Netflix's subscriber growth surges in a sign that crackdown on password sharing is paying off sarandos jesse cohen greg peters netflix co louis navellier factset research netflix
/content/MediaEval_NewsImages/Training Dataset/C62A5CB1FF5DCD0F327E28B2DB3A12E9.jpg	'Blind Willow, Sleeping Woman' is one strange film | Borneo Bulletin Online murakami otto dix pat padua katagiri marcelo arroyo ryan bommarito zeitgeist films
/content/MediaEval_NewsImages/Training Dataset/02870D074D5F8D5F9AC14D765A43EFB7.jpg	Activist investor Elliott takes big stake in drugmaker Catalent lavanya ahire shailesh kuber reuters
/content/MediaEval_NewsImages/Training Dataset/D791D03FA7D6833C41D4E969D1780E2B.jpg	Putin to stay clear of BRICS summit in South Africa amid ICC warrant; Russian FM to attend [details] peskov vladimir putin sergei lavrov international criminal court
/content/MediaEval_NewsImages/Training Dataset/DBAE779FCF67C2BF2C164CC034EAAEDF.jpg	Fantastic Quilters host international fiber artist guild fairfield glade united methodist church international quilt association american quilters society art institute of houston
/content/MediaEval_NewsImages/Training Dataset/4B9A46E6566D163C819AC1AA938362D7.jpg	Crazy Summer Heat in Texas is Causing our Squirrels to 'Sploot' odd texas school mascots school shopping in tyler school in rusk
/content/MediaEval_NewsImages/Training Dataset/596418DED833F951FA7E42DF9B2914D3.jpg	Great Yarmouth: Vole delays opening of Â£131m bridge norfolk county council norfolk county council association image
/content/MediaEval_NewsImages/Training Dataset/60BF3815FA510D0A8A43398E750DF330.jpg	No stone-pelting on Amarnath pilgrims; J&K administration debunks rumours [truth here] territory of jammu
/content/MediaEval_NewsImages/Training Dataset/74BD6F25104AAFAD3E53AED7468234E1.jpg	Industrial fire at Washington paper mill worsens air quality in Portland weather service
/content/MediaEval_NewsImages/Training Dataset/1C5A59B6847495B474D6A2966B54BC77.jpg	Dan Girardi deserves more respect from New York Rangers fans gorton marc staal john tortorella ryan mcdonagh ryan callahan dan girardi henrik lundqvist matt ellis justin williams honda center
/content/MediaEval_NewsImages/Training Dataset/18C5B6591BA03EBA21845220F5FD4DC9.jpg	State Rep. calls for Wyoming mayor to 'recuse himself from official duties' lundgren marian sheridan william hank choate kathy berden ken thompson mary-ann henry amy facchinello timothy king john haggard kent vanderwood james renner john fitzgerald mayra rodriguez meshawn maddock city council facebook instagram a district court youtube twitter
/content/MediaEval_NewsImages/Training Dataset/9EB6A3208B91396F12264A402D40958B.jpg	Free trade less free now, as Aussie & US are finding group membership
/content/MediaEval_NewsImages/Training Dataset/5330D828FDCD9AEA2EA2A2510928F6EF.jpg	Chinese live streamers take international stage | Borneo Bulletin Online cooke king austin li alibaba tmall yan guanghua louis vuitton china market research group coresight research facebook world platinum investment council
/content/MediaEval_NewsImages/Training Dataset/D04EBBE1FE66F6E9DB30E539C64C8160.jpg	Pittsburgh synagogue attack survivors testify about overcoming physical and emotional wounds matson sharyn stein dan stein dan leger andrea wedner robert bowers michele rosenthal rose mallinger david rosenthal jerry rabinowitz katherine porterfield associated press lilly endowment inc
/content/MediaEval_NewsImages/Training Dataset/066EA81C56FFE5ED3244F2C7A5EF06D3.jpg	No comparison between Sanusi and Anwar's arrests, says Fahmi sembilan fahmi fadzil anwar ibrahim facebook malaysian communications
/content/MediaEval_NewsImages/Training Dataset/B712F727AE0EBAE755E3E4648474A38A.jpg	Noel Clarke is suing The Guardian for Â£10m damages over false reports clarke noel clarke dave benett getty noel clarke clarke at london high court
/content/MediaEval_NewsImages/Training Dataset/49A022F49F07F139D98E74D32EFC8E32.jpg	Warriors youth campers help present former Golden State players Bjelica, Chiozza championship rings thompson amari chiefelk draymond green chris chiozza nemanja bjelica stephen curry jeff addiego vanessa lewis brooklyn g league golden state warriors
/content/MediaEval_NewsImages/Training Dataset/D2635B7B51EB08068B6E20C3E39CEAF4.jpg	American soldier's dash into North Korea leaves family members wondering why kim tara copp nick perry rhonda shafner sarah leslie karine jean-pierre lolita c baldor darlene superville todd richmond travis king matthew miller white house united states american airlines associated press u s army armored division
/content/MediaEval_NewsImages/Training Dataset/FD4B424B6CB057F7E96F9634A49243E2.jpg	Skagit Valley Bread Lab is devoted to baking better bread hammond stephen jones ann templeton monin bill gates skagit valley bread lab washington state university bread lab bread lab
/content/MediaEval_NewsImages/Training Dataset/ACBEB81427EF1D99E783BD296E5EA56E.jpg	Kyodo News Digest: July 20, 2023 ichikawa akie abe shinzo abe karine jean-pierre yasukazu hamada white house national police agency united states international atomic energy agency japan national tourism organization
/content/MediaEval_NewsImages/Training Dataset/0E063AFDFBD5E1F946EFBE02D606E84E.jpg	Local, state leaders announce revitalization efforts in the works for City of Erie laughlin james grunke joe schember erie regional chamber growth partnership
/content/MediaEval_NewsImages/Training Dataset/FF57E16343B03CBE86AB0417AEFC4658.jpg	American Tower (AMT) Outpaces Stock Market Gains: What You Should Know investment research nasdaq
/content/MediaEval_NewsImages/Training Dataset/1AA10C6E5BC0D44432A74886818EEE39.jpg	California Sen. Feinstein seeks more control over her late husband's trust to pay medical bills feinstein marc scholvinck richard blum steven p braccini adam russell mark r klein dianne feinstein associated press san francisco superior court san francisco fire commission united states dc health link
/content/MediaEval_NewsImages/Training Dataset/42ADCFB0826AA26733F0FD1243F76619.jpg	New Mexico advocacy group speaks out about Oppenheimer film nolan tina cordova tularosa basin downwinders consortium co
/content/MediaEval_NewsImages/Training Dataset/155CFEEB7B5E188605284F91B968C76B.jpg	TimothÃ©e Chalamet swam in enormous vat of hot chocolate for 'Wonka' king rowan atkinson willy wonka hugh grant olivia colman jim carter sally hawkins matt lucas 
/content/MediaEval_NewsImages/Training Dataset/C7FA830D2A473671E9BAD210D8AA667A.jpg	10-month-old dies after being left in hot car in Florida county sheriff office
/content/MediaEval_NewsImages/Training Dataset/413E0577295DA01BCC1FDA526C1635AC.jpg	Tenet Healthcare (THC) Stock Sinks As Market Gains: What You Should Know zacks investment research tenet healthcare
/content/MediaEval_NewsImages/Training Dataset/FDE2A293F40B8A0E1D609E1A71DA843E.jpg	Overwatch League Teams Set to Vote on League's Future Amidst Layoffs story missions overwatch league
/content/MediaEval_NewsImages/Training Dataset/BAFBEC5552BD3033DC20B8FF0B6E7F9E.jpg	All Loan Apps Should Be Forced To Register Wityh CBN, FCCPC irukera joe dada nurudeen badejo british chamber central bank google consumer protection commission council member of the nigerian
/content/MediaEval_NewsImages/Training Dataset/666072C1C6522B95C73FB537035C1970.jpg	Ballinascraw Ben breaks 20-year record at VendÃ©en Premier oliver lynch ballinascraw harry browne ciaran coughlan noggus braveheart ann ford kilbride bowie cheryl obrien ballinascraw aramis ballinascraw ben pat oliver ballinascraw barron john lynch co westmeath co meath co galway sheep society
/content/MediaEval_NewsImages/Training Dataset/3CA4ABE6E2E6B49A4B7A8B2156B286CA.jpg	Long-term UNI client considers switching banks, frustrated with ongoing problems corporation desjardins group
/content/MediaEval_NewsImages/Training Dataset/66C5EE6CDF7ED02F5917258D3886B3BE.jpg	New Military Aid Package Will Help Protect Grain Ports In Ukraine - White House states white house
/content/MediaEval_NewsImages/Training Dataset/3C6CD1958EEECD7836B381A078098F5A.jpg	Is Tunisia Becoming The EU's Border Police? â€“ Eurasia Review rutte giorgia meloni kais saied european union european commission ursula workers party un convention on refugees
/content/MediaEval_NewsImages/Training Dataset/16358B3C184B825C7EFB6BCDEE12BA36.jpg	Thieves strike Ukrainian Church parking lot, take religious relics police service
/content/MediaEval_NewsImages/Training Dataset/A8CE1FE39F6B274D7AAA05F6730310FF.jpg	RTÃ‰ Investigates difficult to watch karen mccabe ladyhaywire pearson
/content/MediaEval_NewsImages/Training Dataset/0863D21C0C53E72AF6392ED714548556.jpg	Roblox (RBLX) Stock Sinks As Market Gains: What You Should Know zacks investment research
/content/MediaEval_NewsImages/Training Dataset/54BD25F06BA3613BFB853C04B346221D.jpg	DeSantis, Florida officials sued over felon voter eligibility rules, 'election police' washington ron desantis louis bolden office of election crimes florida legislature florida rights restoration coalition
/content/MediaEval_NewsImages/Training Dataset/4CE9C8FEBA25B0B12D31DF3B1FA3D11D.jpg	Trump says he expects to be indicted in Capitol riot probe haley joe biden adam schiff kevin mccarthy donald trump jack smith joe biden department of justice united states white house elks lodge
/content/MediaEval_NewsImages/Training Dataset/DB75727D36D8C31A01D36A53B376424D.jpg	Combs creates e-commerce platform to boost black-owned businesses john byron allen tyler perry mary j blige faith evans bad boy records
/content/MediaEval_NewsImages/Training Dataset/D6D6CFAD06A467878B97C4B550610326.jpg	PM: No national security risk related to Auckland CBD shootings group membership
/content/MediaEval_NewsImages/Training Dataset/6393F9F5FA7443A298DF6B5145A0D576.jpg	Prince William used to make this meal to woo Kate Middleton zilli kate middleton mary berry andrew university
/content/MediaEval_NewsImages/Training Dataset/A2B6CBF7A6922DF3A5254A7B3725B5F2.jpg	Oxjam Present A 24-hour DJ Marathon krystal roxx django django friendly
/content/MediaEval_NewsImages/Training Dataset/6EC5BFF86B9F55FA0513180A505BBFEB.jpg	Ancient Dna Reveals The Earliest Evidence Of The Last Massive Human Migration To Western Europe of the usatovo culture
/content/MediaEval_NewsImages/Training Dataset/E6A943BB951CF941F31A7D576DAB1FFB.jpg	Veteran who stormed Capitol with loaded pistol sentenced to prison nohria christopher michael alberts joe biden stephen sherman christopher cooper virginia national guard capitol police associated press
/content/MediaEval_NewsImages/Training Dataset/698050E17E747B5EB676B53478BF257D.jpg	New York investigators seize $69m worth of artifacts from Met trustee and philanthropist hollein ken weine elizabeth marlowe colgate university
/content/MediaEval_NewsImages/Training Dataset/642CEC03C2D342D65B8603C93F233182.jpg	Bron Studios, Co-Financier Behind 'Joker' and Licorice Pizza,' Files for Bankruptcy theron aretha franklin paul thomas anderson jason reitman aaron l gilbert united states
/content/MediaEval_NewsImages/Training Dataset/93FD0B8871F87FF253943A56659D6708.jpg	AL East: 1 screw up the Yankees, Red Sox, Orioles, Rays and Blue Jays can make at the MLB trade deadline bieber adley rutschman gunnar henderson aaron hicks paul blackburn american league
/content/MediaEval_NewsImages/Training Dataset/6CA694B270E4CAE49BFFA2D0CF633101.jpg	Francis Touchet named interim superintendent for Lafayette school system touchet donald aguillard william taylor potter irma trosclair eunice high school louisiana department of education lafayette parish school system lafayette parish school board
/content/MediaEval_NewsImages/Training Dataset/5DE0FC2C254D4BF40F55E0943C7DCA53.jpg	Stars Dazzle On The Red Carpet At 2nd Blue Dragon Series Awards soo jin lee sung min kim yo han jung hyun gyu lee hak joo kim shin rok heo young ji jang ryul 
/content/MediaEval_NewsImages/Training Dataset/1CA2D531321AE25C6449543C434B4892.jpg	Orange County Animal Services offers free adoptions as it hits capacity county animal services
/content/MediaEval_NewsImages/Training Dataset/8238281C41CEFA64032B0996DA8811B4.jpg	Need to reduce risk for forest owners programme forest land availability implementation group hackett
/content/MediaEval_NewsImages/Training Dataset/32799D077EDCA74E11B4228A956E965F.jpg	Clack, clack, cocktail: The Estate hosts Typewritten Tuesdays noah witt smith corona sears
/content/MediaEval_NewsImages/Training Dataset/8E614CC3CCC9D1B931B3220F8F1CE48C.jpg	Everett's Paine Field changes name to Seattle Paine Field International Airport paine field international airport
/content/MediaEval_NewsImages/Training Dataset/33E480F074F0A4D2879C1430038C94C4.jpg	Manhattan DA indicts NYPD officer over alleged assault at Apple Store hendry salvatore provenzano 
/content/MediaEval_NewsImages/Training Dataset/7E4F008D08D1FDABB2B1EEF540E7EEC1.jpg	Town of Georgetown plans trail project, park additions central high school indiana department of natural resources our southern indiana regional development authority development initiative church alley family dollar georgetown christian church technology campus in edwardsville
/content/MediaEval_NewsImages/Training Dataset/60C6ADF38813E034AEAEE1582224E19F.jpg	Gov. Ron DeSantis sets date for election to fill Fred Hawkins' House seat â€“ Orlando Sentinel davis fred hawkins ken davenport joe biden scotty moore ron desantis darren soto florida state college in highlands orlando citizen police review board osceola school board orlando city council advisory council osceola county commission
/content/MediaEval_NewsImages/Training Dataset/F6E73C06A11EC34F3F13ACC0D4923196.jpg	Serbfest to be held Saturday at Kings Creek Picnic Grounds resurrection serbian orthodox church
/content/MediaEval_NewsImages/Training Dataset/0CCBEF294F74CDBBCEB29FD73971023F.jpg	Gucci's CEO is stepping down as its French parent shakes up leadership michele henri pinault jean-marc duplaix marco bizzarri yves saint laurent alexander mcqueen francesca bellettini gucci valentino
/content/MediaEval_NewsImages/Training Dataset/F207DEF95C741E5A30B22DC6D46F5728.jpg	Jagmeet Singh talks mortgage rates while in Windsor trudeau irek kusmiercyzk jagmeet singh 
/content/MediaEval_NewsImages/Training Dataset/8F7CF19234FD7AA3871FDE8F757E369B.jpg	Your health is at risk when gas stoves are turned on, study says environmental protection agency international agency for research on cancer united states national toxicology program stanford university world health organization united states
/content/MediaEval_NewsImages/Training Dataset/91589E60247F80DFECEAEA495DEA0BC2.jpg	Engrossed â€“ The Navhind Times of the mushtifund high school
/content/MediaEval_NewsImages/Training Dataset/D7A01823C13FCFF0B0C5A063776C2812.jpg	Opinion: Trump could soon be indicted for Jan. 6. There's more than enough evidence to convict him chesebro donald trump mike pence john eastman jack smith rudy giuliani joe biden white house united states justice department
/content/MediaEval_NewsImages/Training Dataset/28E926AB7EFEEAB2088435CC23649AF9.jpg	Taco Bell brings back fan-favorite item after 5 years and 9 tattoos lamour devin durbin tabo bell richard axton facebook beefy crunch movement taco bell
/content/MediaEval_NewsImages/Training Dataset/945E51004309F709A2A7E21881FC8945.jpg	Climate protester blocking road shoved to the ground after pregnant woman's car crashes knorr lindsay kornick jonny bairstow department for energy security a just stop oil just stop oil twitter
/content/MediaEval_NewsImages/Training Dataset/4EDF9B5C91F52F5A5971C3B32C060047.jpg	How iGenius's GPT for numbers is evolving language models to give enterprise data a voice uljan sharka matt marshall allianz
/content/MediaEval_NewsImages/Training Dataset/B0D7FD7FA6B2BC3EE797014C0F4D0EE9.jpg	'Fast Car': The Long, Distinctive Journey of Tracy Chapman's Hit michael nelson mandela brian koppelman justin bieber stephen colbert charles koppelman tracy chapman jackson browne nic offer sam smith santa monica kelly clarkson stevie wonder michael collings eric burton chk chk chk massachusett tufts university billboard dance club songs
/content/MediaEval_NewsImages/Training Dataset/9D8C4B95C0F1C7B779AAAC7A1D246738.jpg	Atlanta Journal-Constitution Fires Reporter, Issues Corrections After Irresponsible Story About the University of Georgia chapman jon fleischaker alan judd kamari lassiter sedrick van pran brock bowers seth emerson brian eason marc weiser university of georgia university of georgia athletic association
/content/MediaEval_NewsImages/Training Dataset/E9BF9F6558928824AA67C5276CD6FE41.jpg	Gilgo Beach suspect's wife allegedly told cops: 'Ok, it is what it is' heuermann raymond tierney audrey conklin fox jodi goldberg rodney harrison york state police suffolk county police
/content/MediaEval_NewsImages/Training Dataset/CD298FD790187F1E7C7E602C060C5878.jpg	Canadian wildfires hit Indigenous communities hard, threatening their land and culture mcmullen raymond supernault amy cardinal christianson carrol johnston casey ratt associated press indigenous services canada canadian association of fire chiefs canadian interagency forest fire centre canadian forest service
/content/MediaEval_NewsImages/Training Dataset/FE03724F341FF3024C03374FA167C4A0.jpg	Where to Go in Houston haatuft nguyen viet ryan lachaine louis riel kaiser lashkari anthony bourdain james beard space center young space center houston united states armed johnson space center buffalo soldiers national museum marriott marquis barbara jordan post office mission mars
/content/MediaEval_NewsImages/Training Dataset/35EEF48EF618A3FDF68FD72925C859CA.jpg	Opposition Parties | Essay: Oppositions unite in attempt to evict PM Narendra Modi using technology market research facebook terms of service third party personal information service providers google information collected using technology twitter home delivery department services you
/content/MediaEval_NewsImages/Training Dataset/65B01755EBA862BF363E5C575731361D.jpg	Fitness Influencer Katie Austin's Guide to Summer Self-Care and Healthy Eating katie austin instagram
/content/MediaEval_NewsImages/Training Dataset/AA4CEE4E1720E3B0C2BADA8754BEF472.jpg	Big Island and Kaua'i Each Get a New Beer Brewery and Taproom brewfest brian bosscher laurie jeffries john white kati conant hilo brewing co brewing co pink boots society
/content/MediaEval_NewsImages/Training Dataset/C185A0B30676A332E599626F572D9B29.jpg	Alabama House, Senate advance different congressional maps ahead of Friday deadline rogers d-birmingham juandalynn givan d-birmingham united states supreme court senate livingston congressional plan senate democrats supreme court community of interest
/content/MediaEval_NewsImages/Training Dataset/0016AB727ED58EC496D107D6D4EFB9B7.jpg	Gemma Atkinson 'signs for huge new reality show' just hours after welcoming her second child with fiancÃ© Gorka Marquez vincent gemma atkinson amy walsh jen metcalfe roxy shahidi 
/content/MediaEval_NewsImages/Training Dataset/A40C5AEC0CC31E00BB63F3401661DFA5.jpg	5 ways to coyote-proof your yard and protect your home department of fish
/content/MediaEval_NewsImages/Training Dataset/6A8787E28B56B098F45FD275E53123C6.jpg	Rally held in Brockville, Ont. for striking Family and Children's Services workers - Kingston hahn erin lee marcotte mark hancock children services of lanark
/content/MediaEval_NewsImages/Training Dataset/87997CCA1A8B71AAB224FB48354D3E2F.jpg	Armed with charm and oodles of cash, Tim Scott makes a play for New Hampshire Republicans desantis dave carney dante scala steve chopelas ed huminick tony conte jeb bush chuck morse university of new hampshire elks lodge u senate department of justice
/content/MediaEval_NewsImages/Training Dataset/7E4B00373F36BCE599682F1ACCEB9C0B.jpg	Severe Storms Bring Wind, Rain and Lightning to Central Minnesota weather service xcel energy morrison
/content/MediaEval_NewsImages/Training Dataset/64D8D5C4D91F40E7F159558099143D45.jpg	Farrpoint Finds Investing in UK Rural 4G Mobile Brings Big Benefits development company g infill programme rural network
/content/MediaEval_NewsImages/Training Dataset/94260092269FD1CCF8E74783721EC6CE.jpg	Why Russia Pulled Out Of Its Grain Deal With Ukraine And What That Means For The Global Food System school of economics united nations
/content/MediaEval_NewsImages/Training Dataset/D49FB5FD28E6C6B298A9F232461C9135.jpg	Cougar attacks dog near Lake Cushman county sheriff office a washington state department of fish
/content/MediaEval_NewsImages/Training Dataset/7310EEC189305508453D27938E6148BD.jpg	San Diego State to remain in Mountain West, receive $6.6M initially withheld after decision to leave harper gloria nevarez terry tumey california state university
/content/MediaEval_NewsImages/Training Dataset/16481598E96E182B3EA5D569D6633097.jpg	Whisnants to be in concert at Glade church glade first baptist church gospel music southern style program national quartet convention towne centre way
/content/MediaEval_NewsImages/Training Dataset/C806F8DE1BCFD9474173DAC16CE01701.jpg	As police try to solve deaths of four women in Oregon, mothers hope for answers smith tina kotek todd jackson scott leonard diana allen leann webster kristin smith mark gerton jesse lee calhoun darcie byers-ramsey kate brown multnomah county department of community justice polk county sheriff office associated press multnomah county district attorney office charity lynn perry facebook snake river correctional institution
/content/MediaEval_NewsImages/Training Dataset/FE6917A8056DE180A46A0194EE82830C.jpg	State narcotics agents bust alleged black-market marijuana ring media group oklahoma bureau of narcotics
